Chinese	Pinyin	English
我可以从她的眼睛里看出她的喜悦。	wǒ kěyǐ cóng tā de yǎnjing lǐ kànchū tā de xǐyuè	I can see her gladness in her eyes.
我已经准备好与你较量力气。	wǒ yǐjīng zhǔnbèi hǎo yǔ nǐ jiàoliàng lìqi	I'm ready to match my strength against yours.
再呆10个星期，一共3个月。	zài dāi gè xīngqī yīgòng gè yuè	Another ten weeks three months altogether.
你能把那一点指出来，我感到很高兴。	nǐ néng bǎ nà yīdiǎn zhǐchū lái wǒ gǎndào hěn gāoxìng	I'm glad you raised that point.
我喜欢唱歌，更不用说听音乐了。	wǒ xǐhuan chànggē gèng bùyòng shuō tīng yīnyuè le	I enjoy singing, much more listening to music.
我可不喜欢整天和他在一起。	wǒ kě bù xǐhuan zhěngtiān hé tā zàiyīqǐ	I'm not too enamored with the idea of spending a whole day with him.
她喜欢炫耀她的精美衣服。	tā xǐhuan xuànyào tā de jīngměi yīfu	She likes to show off her fine clothes.
让她走，别阻拦她。	ràng tā zǒu bié zǔlán tā	Let her go. Don't stop her.
他哄她同意带她去看电影。	tā hǒng tā tóngyì dài tā qù kàn diànyǐng	He coaxed her into letting him take her to the cinema.
成功和财富改变了他的性格。	chénggōng hé cáifù gǎibiàn le tā de xìnggé	Success and wealth transformed his character.
您想让我现在开饭吗?	nín xiǎng ràng wǒ xiànzài kāifàn ma	Do you wish me to serve dinner now?
如果你再迟到，老板就会把你解雇。	rúguǒ nǐ zài chídào lǎobǎn jiù huì bǎ nǐ jiěgù	If you are late again the boss will give you the sack.
他的财产被他叔叔霸占了。	tā de cáichǎn bèi tā shūshu bàzhàn le	His property was seized on by his uncle.
我明天晚上来.	wǒ míngtiān wǎnshang lái	I'll come round tomorrow evening.
我们在那儿几乎没看见学生。	wǒmen zàinar jīhū méi kànjiàn xuésheng	We saw few students there.
你必须专心学习。	nǐ bìxū zhuānxīn xuéxí	You must pay attention to your study.
我儿子生病时，丈夫给了我极大的安慰。	wǒ érzi shēngbìng shí zhàngfu gěi le wǒ jídà de ānwèi	My husband was a great comfort to me when my son was ill.
我的护照再过两个月就到期了。	wǒ de hùzhào zài guò liǎng gè yuè jiù dàoqī le	My passport is due to expire in two months.
我们还以为那是最坏的情况呢，可没想到更糟的还在后面。	wǒmen hái yǐwéi nàshi zuì huài de qíngkuàng ne kě méixiǎngdào gèng zāo de hái zài hòumian	We thought that the situation was as bad as it could be, but worse was to follow.
我们喜欢看海豚的表演。	wǒmen xǐhuan kàn hǎitún de biǎoyǎn	We like to see the performance of dolphins.
我的狗不在旁边我就很寂寞。	wǒ de gǒu bùzài pángbiān wǒ jiù hěn jìmò	I feel very lonely without my dog.
我无论如何是会去的。	wǒ wúlùnrúhé shì huì qù de	I will go whether or no.
你打算做什么?	nǐ dǎsuàn zuò shénme	What do you plan to do?
他得到越多，想要的也越多。	tā dédào yuè duō xiǎngyào de yě yuè duō	The more he has, the more he wants.
她最主要的品质是善良。	tā zuì zhǔyào de pǐnzhì shì shànliáng	Her most essential quality is kindness.
她即使在最糟糕的时候也总是非常乐观.	tā jíshǐ zài zuì zāogāo de shíhou yě zǒngshì fēicháng lèguān	She was always optimistic, even when things were at their worst.
难怪她病了，她几乎什么都没吃。	nánguài tā bìng le tā jīhū shénme dōu méi chī	No wonder she's ill. She eats next to nothing.
他的时间排得很满，学生根本无法和他接触。	tā de shíjiān pái dehěn mǎn xuésheng gēnběn wúfǎ hé tā jiēchù	His busy schedule made him completely inaccessible to his students.
她的聪颖是不言而喻的。	tā de cōngyǐng shì bùyán'éryù de	Her intelligence is self-evident.
这只狗开始生病并且很快就死了。	zhè zhǐ gǒu kāishǐ shēngbìng bìngqiě hěn kuài jiù sǐ le	The dog began to sicken and soon died.
我不敢去想她知道真相后会怎么样。	wǒ bù gǎn qù xiǎng tā zhīdào zhēnxiàng hòu huì zěnmeyàng	I dread to think what will happen if she finds out the truth.
我们用他给我们带来的面粉做了一些面包。	wǒmen yòng tā gěi wǒmen dàilái de miànfěn zuò le yīxiē miànbāo	We made some bread with the flour he bought for us.
我觉得我很空虚。	wǒ juéde wǒ hěn kōngxū	I feel I am in emptiness.
那城市有自己的公用图书馆和公园。	nà chéngshì yǒu zìjǐ de gōngyòng túshūguǎn hé gōngyuán	The town has its own public library and public gardens.
他去邮局买些邮票。	tā qù yóujú mǎi xiē yóupiào	He went to the post-office to buy some stamps.
多亏您们的帮助，我们才成功完成了工作。	duōkuī nín men de bāngzhù wǒmen cái chénggōng wánchéng le gōngzuò	Owing to you help, we have just successfully completed work.
有了它真是方便。	yǒule tā zhēnshi fāngbiàn	It really comes in handy.
他沉思着过去的生活。	tā chénsī zhe guòqu de shēnghuó	He meditates on his past life.
我不完全理解他离开的理由。	wǒ bù wánquán lǐjiě tā líkāi de lǐyóu	I don't fully understand his reasons for leaving.
空想的想象的；不真实的；爱空想的	kōngxiǎng de xiǎngxiàng de bù zhēnshí de ài kōngxiǎng de	Imaginary; unreal; fanciful.
他把所有的时间都用在做纵横填字游戏和其他无聊的活动上.	tā bǎ suǒyǒu de shíjiān dōu yòng zài zuò zònghéng tián zì yóuxì hé qítā wúliáo de huódòng shàng	He spends all his time on crosswords and other trifles.
她终于嫁给了最执着追求她的人。	tā zhōngyú jià gěi le zuì zhízhuó zhuīqiú tā de rén	She eventually married the most persistent one of her admirers.
我通常大概7点起床。	wǒ tōngcháng dàgài diǎn qǐchuáng	I used to get up at about seven.
爱情是盲目的。	àiqíng shì máng mùdì	Love is blind.
他是我认识的最可憎的人。	tā shì wǒ rènshi de zuì kězēng de rén	He is the most obnoxious man I know.
我珍惜你的友谊。	wǒ zhēnxī nǐ de yǒuyì	I treasure your friendship.
你喜欢流行音乐吗？	nǐ xǐhuan liúxíngyīnyuè ma	Do you like popular music?
他的钱是我的三倍还不止。	tā de qián shì wǒ de sānbèi hái bùzhǐ	He has more than three times my money.
不论你在哪里，我都会想念你。	bùlùn nǐ zài nǎlǐ wǒ dūhuì xiǎngniàn nǐ	Wherever you are, I will miss you.
你的意见是否代表其他学生的意见？	nǐ de yìjiàn shìfǒu dàibiǎo qítā xuésheng de yìjiàn	Are your opinions representative of the other students?
他胃不舒服。	tā wèi bùshūfu	He has an upset stomach.
他叫侍者拿菜单来。	tā jiào shìzhě ná càidān lái	He called the waiter to bring the menu.
我虽然很喜欢她，却不打算娶她。	wǒ suīrán hěn xǐhuan tā què bù dǎsuàn qǔ tā	Much as I like her, I won't marry her.
我们会尽力来达到世界水平。	wǒmen huì jìnlì lái dádào shìjiè shuǐpíng	We'll do all we can to catch up the world level.
我不知道这个对你的意义有这么大。	wǒ bù zhīdào zhège duì nǐ de yìyì yǒu zhème dà	I didn't realize how much this meant to you.
我知道发生了什么事。	wǒ zhīdào fāshēng le shénmeshì	I know what happened.
有要紧的事把他叫走了。	yǒu yàojǐn de shì bǎ tā jiào zǒu le	Something urgent has called him away.
刚才你男朋友给你打电话了。	gāngcái nǐ nánpéngyou gěi nǐ dǎdiànhuà le	Your boyfriend called you just now.
狄更斯是他最喜欢的作家、	Dígēngsī shì tā zuì xǐhuan de zuòjiā	Dickens is his favorite author.
谁把我写在黑板上的数字擦掉了?	shéi bǎ wǒ xiě zài hēibǎn shàng de shùzì cādiào le	Who's rubbed my figures off the blackboard?
没关系。有什么事？	méiguānxi yǒu shénmeshì	It doesn't matter. What's up?
她对服装有很好的审美眼光。	tā duì fúzhuāng yǒu hěn hǎo de shěnměiyǎnguāng	She has good taste in clothes.
丹在学校是个好学生；我们期望他经商成功。	dān zài xuéxiào shì gè hǎo xuésheng wǒmen qīwàng tā jīngshāng chénggōng	Dan was a good student at school; we expect him to go places in business.
他那有趣的表演引起了观众的哄堂大笑。	tā nà yǒuqù de biǎoyǎn yǐnqǐ le guānzhòng de hōngtángdàxiào	His amusing performance caused a roar of laughter in the audience.
现在的时装和我还是小女孩时候流行的样子很不一样了。	xiànzài de shízhuāng hé wǒ háishi xiǎo nǚhái shíhou liúxíng de yàngzi hěn bùyīyàng le	Fashions have changed a lot since I was a little girl.
我们的身体需要充足的营养。	wǒmen de shēntǐ xūyào chōngzú de yíngyǎng	Our bodies need adequate nutrition.
我记得她长着红头发。	wǒ jìde tā cháng zhe hóng tóufa	I recollect that she had red hair.
他请求他母亲答应他去看马戏。	tā qǐngqiú tā mǔqīn dāying tā qù kàn mǎxì	He pleaded with his mother to allow him to go to the circus.
他几乎破产了。	tā jīhū pòchǎn le	He is practically ruined.
他有早起的习惯。	tā yǒu zǎoqǐ de xíguàn	He is in the habit of rising early.
你永远应该以搞好你的工作为目的。	nǐ yǒngyuǎn yīnggāi yǐ gǎohǎo nǐ de gōngzuò wéi mùdì	You should always aim at doing your job well.
要不然他还会在教书，因为他的心仍然在课堂上和他的学生们在一起。	yàobùrán tā hái huì zài jiāoshū yīnwèi tā de xīn réngrán zài kètáng shàng hé tā de xuésheng men zàiyīqǐ	Otherwise he would still be teaching, because his heart and soul were still in the classroom with his students.
他一再说他很忙。	tā yīzài shuō tā hěn máng	He repeated several times that he was busy.
你以为你在跟谁说话？	nǐ yǐwéi nǐ zài gēn shéi shuōhuà	Who do you think you're talking to?
你没有认识到她这一成就的重大意义。	nǐ méiyǒu rènshi dào tā zhè yī chéngjiù de zhòngdà yìyì	You haven't realized the magnitude of her achievement.
你知道谁打破了窗户？	nǐ zhīdào shéi dǎpò le chuānghu	Do you know who broke the window?
她不知道以后等待她的将是什么命运。	tā bù zhīdào yǐhòu děngdài tā de jiāng shì shénme mìngyùn	She wondered what fate had in store for her next.
一般人也许会嘲笑他的音乐，但我们更了解它。	yībānrén yěxǔ huì cháoxiào tā de yīnyuè dàn wǒmen gèng liǎojiě tā	The multitude may laugh at his music, but we know better.
可能的话，她想跟我们一起去。	kěnéng dehuà tā xiǎng gēn wǒmen yīqǐ qù	If possible, She wants to go with us.
我只关心我觉得对我很重要的事物。	wǒ zhǐ guānxīn wǒ juéde duì wǒ hěn zhòngyào de shìwù	I am concerned only with things that I feel are important to me.
你只要问他，他就会告诉你。	nǐ zhǐyào wèn tā tā jiù huì gàosu nǐ	You have only to ask and he'll tell you.
仍有许多人的生活条件是很艰苦的。	réng yǒu xǔduō rén de shēnghuó tiáojiàn shì hěn jiānkǔ de	There are still many people whose living conditions are miserable.
我觉得这是个合理的建议，但他不同意。	wǒ juéde zhè shì gè hélǐ de jiànyì dàn tā bùtóng yì	I thought it was a reasonable proposal, but he didn't agree.
他走了，把所有没做完的工作都留给了我。	tā zǒu le bǎ suǒyǒu méi zuòwán de gōngzuò dōu liúgěi le wǒ	He was gone and left all the work undone to me.
我的新秘书很好，确实是难得的人才。	wǒ de xīn mìshū hěn hǎo quèshí shì nándé de réncái	My new secretary is very good; quite a find, in fact.
是的，这事我知道，谢谢。	shìde zhè shì wǒ zhīdào xièxie	Yes, I know that, thanks.
我要去购物，因为我需要买些日用品。	wǒ yào qù gòuwù yīnwèi wǒ xūyào mǎi xiē rìyòngpǐn	I'm going shopping because I need to buy some daily necessities.
刘师傅把每道工序做给我们看，然后让我们自己干。	Liú shīfu bǎ měi dào gōngxù zuò gěi wǒmen kàn ránhòu ràng wǒmen zìjǐ gàn	Master Liu demonstrated to us each process, and let us do it ourselves.
我不喜欢我那单调乏味的工作。	wǒ bù xǐhuan wǒ nà dāndiàofáwèi de gōngzuò	I do not like my monotonous work.
他的想法和我的不一致。	tā de xiǎngfǎ hé wǒ de bù yīzhì	His ideas do not conform to mine.
那就说明了她不在这里的原因。	nà jiù shuōmíng le tā bùzài zhèlǐ de yuányīn	That explains why she is not here.
这三个人根据各自的能力被分配了工作。	zhè sān gèrén gēnjù gèzì de nénglì bèi fēnpèi le gōngzuò	The three men were given work according to their respective abilities.
把这本书给她。	bǎ zhè běn shū gěi tā	Give her the book.
他向我提了一些很好的意见。	tā xiàng wǒ tí le yīxiē hěn hǎo de yìjiàn	He gave me some good advice.
他是个很难对付的人。	tā shì gè hěn nán duìfu de rén	He was a difficult man to deal with.
我们的地位可以改善。	wǒmen de dìwèi kěyǐ gǎishàn	Our position is capable of improvement.
他为我演奏了他的许多乐曲。	tā wéi wǒ yǎnzòu	He played many of his compositions for me.
